6.955696,-2.271304,-7.551977,-8.465555,-2.333169,7.840669,-7.889222,-6.958456,-5.279609,-6.382814,-9.153613,2.300151,-5.452625,-0.751092,-4.783421,0.280964
5.846096,-3.795135,-7.360607,-8.083980,-2.580818,6.293248,-7.822016,-6.340308,-4.454172,-6.245794,-9.108938,2.847698,-4.110326,-1.824824,-3.819754,-1.256114
-6.545380,-3.224422,0.442811,-0.229286,7.750429,-4.919565,3.507836,-4.044542,1.112767,-8.499865,-3.361352,6.776272,1.761368,1.840061,-5.490276,-8.893151
-6.248897,-2.647032,-1.252399,-0.281056,7.087178,-4.127798,2.969024,-3.395879,-0.193738,-6.453234,-3.176301,6.970081,1.893946,3.170292,-3.259258,-7.261310
3.966295,2.153257,5.681615,0.900595,-1.263457,-2.632357,-2.981285,-2.740754,8.308601,5.096402,-7.890328,-2.080390,-6.774597,4.826221,9.821112,-1.869868
4.347198,0.882991,6.511724,0.689747,-3.453828,-2.541783,-2.533267,-1.292521,8.071801,4.722478,-6.110816,-0.877265,-8.509043,4.168089,9.617985,-2.592592
8.495862,-0.836070,3.478806,2.365089,-8.587804,7.437375,-3.233952,8.911235,-2.245024,-6.667424,7.996112,-8.697126,-7.531225,0.878948,-6.133161,1.911537
8.830081,-0.548961,5.243168,2.230462,-8.016715,6.713690,-6.332799,9.447461,-0.784744,-6.876758,6.027739,-7.830060,-8.420315,0.295917,-5.744426,1.288010
7.093966,-1.924240,10.604219,-4.876197,5.420165,-3.031682,-6.914345,-6.222488,-5.342864,9.158585,-7.645842,-3.225783,-3.765414,-0.404550,0.387557,3.633860
-6.115448,-1.414893,-0.961443,0.391566,7.208084,-4.791797,3.005358,-3.087654,-0.453379,-7.233736,-4.672640,6.245562,1.788529,4.230647,-5.496214,-9.451255
